region,CLDliq_NHX,CLDliq_NHX_L_seas,CLDliq_SHX,CLDliq_T,CTP_NHX,CTP_NHX_L_seas,CTP_SHX,CTP_T,MSLP_NHX_DGM,MSLP_NHX_DGM_seas,MSLP_T_DGM,OLRC_NHX,OLRC_NHX_L_seas,OLRC_SHX,OLRC_T,OLR_NHX,OLR_NHX_L_seas,OLR_SHX,OLR_T,Precip_NHX_L,Precip_NHX_L_seas,Precip_T_L,RH_NHX@500,RH_NHX@500_seas,RH_SHX@500,RH_T@500,RSRC_NHX,RSRC_NHX_L_seas,RSRC_SHX,RSRC_T,RSR_NHX,RSR_NHX_L_seas,RSR_SHX,RSR_T,Reff_NHX,Reff_NHX_L_seas,Reff_SHX,Reff_T,T2m_NHX_L,T2m_NHX_L_seas,T2m_T_L,T_NHX@500,T_NHX@500_seas,T_SHX@500,T_T@500,netflux_global
CLDliq_NHX,3.043312843301576e-05,9.190434892668173e-06,3.9358748154679205e-05,0.0001065021138113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDliq_NHX_L_seas,9.190434892668173e-06,5.791429669259568e-05,2.757834690644764e-05,5.241160983146101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDliq_SHX,3.9358748154679205e-05,2.757834690644764e-05,6.93502238987931e-05,0.0001694221198873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDliq_T,0.0001065021138113,5.241160983146101e-05,0.0001694221198873,0.0004480270356239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTP_NHX,0.0,0.0,0.0,0.0,7.562430983528885,-4.222252015337868,4.589379163249,-1.5031023881461631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTP_NHX_L_seas,0.0,0.0,0.0,0.0,-4.222252015337868,186.88431258700768,-5.5450977441472284,-45.73600658161951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTP_SHX,0.0,0.0,0.0,0.0,4.589379163249,-5.5450977441472284,4.517250511152943,0.9229683300571352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTP_T,0.0,0.0,0.0,0.0,-1.5031023881461631,-45.73600658161951,0.9229683300571352,17.153005100971253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSLP_NHX_DGM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.2870102719312,-1153.1301983690705,-71.01468314900929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSLP_NHX_DGM_seas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1153.1301983690705,7891.280767242999,485.97878157381393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
