,RSR_NHX,RSR_TROPICS,RSR_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,netflux_GLOBAL,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,Reff_NHX,Reff_TROPICS,Reff_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,MSLP_NHX_DGM,MSLP_TROPICS_DGM
RSR_NHX,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSR_TROPICS,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSR_SHX,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLR_NHX,0.0,0.0,0.0,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLR_TROPICS,0.0,0.0,0.0,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLR_SHX,0.0,0.0,0.0,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netflux_GLOBAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lprecip_NHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58464117961238e-10,5.566675138298956e-10,3.320020019307672e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lprecip_TROPICS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.566675138298956e-10,1.1989235619933506e-09,7.150498508619488e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lprecip_SHX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.320020019307672e-10,7.150498508619488e-10,4.264627916458705e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
